target uncertainty distance effect
1 25 0.16 1.000
1 25 0.08 1.000
1 25 0.04 0.990
1 25 0.02 0.520
1 25 0.01 0.520
1 50 0.16 1.000
1 50 0.08 1.000
1 50 0.04 1.000
1 50 0.02 1.000
1 50 0.01 1.000
1 75 0.16 1.000
1 75 0.08 1.000
1 75 0.04 1.000
1 75 0.02 1.000
1 75 0.01 1.000
1 100 0.16 1.000
1 100 0.08 1.000
1 100 0.04 1.000
1 100 0.02 1.000
1 100 0.01 1.000
2 25 0.16 1.000
2 25 0.08 1.000
2 25 0.04 0.980
2 25 0.02 0.520
2 25 0.01 0.470
2 50 0.16 1.000
2 50 0.08 1.000
2 50 0.04 1.000
2 50 0.02 1.000
2 50 0.01 1.000
2 75 0.16 1.000
2 75 0.08 1.000
2 75 0.04 1.000
2 75 0.02 1.000
2 75 0.01 1.000
2 100 0.16 1.000
2 100 0.08 1.000
2 100 0.04 1.000
2 100 0.02 1.000
2 100 0.01 1.000
