target uncertainty distance rate
1 25 0.16 0.000
1 25 0.08 0.000
1 25 0.04 0.000
1 25 0.02 0.030
1 25 0.01 0.080
1 50 0.16 0.250
1 50 0.08 0.260
1 50 0.04 0.300
1 50 0.02 0.320
1 50 0.01 0.340
1 75 0.16 0.400
1 75 0.08 0.440
1 75 0.04 0.600
1 75 0.02 0.760
1 75 0.01 0.880
1 100 0.16 0.500
1 100 0.08 0.500
1 100 0.04 0.660
1 100 0.02 0.800
1 100 0.01 0.960
2 25 0.16 0.000
2 25 0.08 0.000
2 25 0.04 0.000
2 25 0.02 0.020
2 25 0.01 0.020
2 50 0.16 0.230
2 50 0.08 0.200
2 50 0.04 0.260
2 50 0.02 0.230
2 50 0.01 0.260
2 75 0.16 0.400
2 75 0.08 0.330
2 75 0.04 0.330
2 75 0.02 0.640
2 75 0.01 0.800
2 100 0.16 0.500
2 100 0.08 0.530
2 100 0.04 0.600
2 100 0.02 0.670
2 100 0.01 0.900
